Title,Author,ExclusiveShelf,Picture,Display
"A Cup of Wanderlust: A Forced Proximity, Vacation, Romantic Comedy (A Cup of Book 2) (A Cup of Series)",Alexis Gorgun,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1698305871i/200089597.jpg,no
"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1703935477i/202507554.jpg,no
"Twisted (Never After, #4)",Emily McIntire,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1662607049i/61434791.jpg,yes
"Icebreaker (Maple Hills, #1)",Hannah  Grace,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659045816i/61767292.jpg,yes
Swallow Me Whole,Gemma James,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532050361i/40878584.jpg,no
Blissful Masquerade (Ruthless Desires #1),Elira Firethorn,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1642718575i/60171058.jpg,no
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mò Xiāng Tóng Xiù,currently-reading,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673239684i/60044932.jpg,yes
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,Mò Xiāng Tóng Xiù,read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1662150342i/59742204.jpg,yes
"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655928079i/60784546.jpg,yes
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1701980900i/61431922.jpg,yes
"Shine (Shine, #1)",Jessica Jung,read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1580350020i/50855956.jpg,yes
"A Touch of Chaos (Hades x Persephone Saga, #4)",Scarlett St.  Clair,to-read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610664026i/56670031.jpg,yes
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 1,Mò Xiāng Tóng Xiù,read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1633385145i/58701949.jpg,yes
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mò Xiāng Tóng Xiù,read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1639310172i/58705562.jpg,yes
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,read,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1429676285i/42899.jpg,no
