Title,Author,ExclusiveShelf,Link,Picture,Display
"A Cup of Wanderlust: A Forced Proximity, Vacation, Romantic Comedy (A Cup of Book 2) (A Cup of Series)",Alexis Gorgun,to-read,https://www.goodreads.com/book/show/200089597-a-cup-of-wanderlust?from_search=true&from_srp=true&qid=ZoU4EDsFtj&rank=1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1698305871i/200089597.jpg,no
"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,to-read,https://www.goodreads.com/book/show/202507554-when-the-moon-hatched?from_search=true&from_srp=true&qid=kDSHaSDpOL&rank=1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1703935477i/202507554.jpg,no
"Twisted (Never After, #4)",Emily McIntire,to-read,https://www.goodreads.com/book/show/61434791-twisted,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1662607049i/61434791.jpg,yes
Magnolia Parks,Jessa Hastings,to-read,https://www.goodreads.com/book/show/58527403-magnolia-parks,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625926657i/58527403.jpg,yes
"Icebreaker (Maple Hills, #1)",Hannah  Grace,to-read,https://www.goodreads.com/book/show/61767292-icebreaker,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659045816i/61767292.jpg,yes
Swallow Me Whole,Gemma James,to-read,https://www.goodreads.com/book/show/40878584-swallow-me-whole,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532050361i/40878584.jpg,no
Blissful Masquerade (Ruthless Desires #1),Elira Firethorn,to-read,https://www.goodreads.com/book/show/60171058-blissful-masquerade,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1642718575i/60171058.jpg,no
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mò Xiāng Tóng Xiù,currently-reading,https://www.goodreads.com/book/show/60044932-heaven-official-s-blessing,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673239684i/60044932.jpg,yes
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,Mò Xiāng Tóng Xiù,read,https://www.goodreads.com/book/show/59742204-heaven-official-s-blessing,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1662150342i/59742204.jpg,yes
"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,to-read,https://www.goodreads.com/book/show/60784546-divine-rivals,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655928079i/60784546.jpg,yes
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,to-read,https://www.goodreads.com/book/show/61431922-fourth-wing,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1701980900i/61431922.jpg,yes
"Shine (Shine, #1)",Jessica Jung,read,https://www.goodreads.com/book/show/50855956-shine,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1580350020i/50855956.jpg,yes
"A Touch of Chaos (Hades x Persephone Saga, #4)",Scarlett St.  Clair,to-read,https://www.goodreads.com/book/show/56670031-a-touch-of-chaos,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610664026i/56670031.jpg,yes
